screenr.com	Record movies of your desktop and send them straight to YouTube.
ctrlq.org/screenshots	Capture screenshots of web pages on mobile and desktops.
goo.g1	Shorten long URLs and convert URLs into QR codes.
unfurlr.come	Find the original URL that's hiding behind a short URL.
qClock	Find the local time of a city using a Google Map.
copypastecharacter.com	Copy special characters that aren't on your keyboard.
postpost.com	A better search engine for twitter.
lovelycharts.com	Create flowcharts, network diagrams, sitemaps, etc.
icanfinder.com	The best place find icons of all sizes.
office.com	Download templates, clipart an images for your Office documents.
followupthen.com	The easiest way to setup email reminders.
jottlorg	Scan any suspicous file or email attachment for viruses.
wolframaplha.com	Gets answers directly without seraching.
printwhatyoulike.com	Print web pages without the clutter.
joliprintcom	Reformats news articles and blog content as a newspaper.
ctrl.org/rss	A search engine for RSS feeds.
e.ggtimer.com	A simple online timer for your daily needs.
coralcdn.org	If a site is down due to heavy traffic, try accessing if through coral CON.
random.org	Pick random numbers, flip wins and more.
pcilescape.com	Lets you can quickly edit PDFs	in the browser itself.
viewer.zoho.com	Preview PDFs and Presentations directly in the browser.
tubemogul.com	Simultaneously upload videos to YouTube and other video sites.
ctiq.com/dictation	Online voice recognition in the browser itself.
scrim	Share your email address online without worrying about spam.
spypig.com	Now get read receipts for your email.
sizeasy.com	Visualize and compare the size of any product.
myfonts.com/WhatTheFont	Quicly determine the font name from an image.
google.com/webfonts	A good collection of open source fonts.
regex.info	Find data hidden in your photographs - see more RIF tools.
livestream.com	Broadcast events live over the web, including your desktop screen.
iwantmyname.com	Helps you search domain across  all TLOs.
homestyler.com	Design from scratch or re-model your home in 3d.
join.me	Share your screen with anyone over the web.
onlineocr.net	Recognize text from scanned PDFs - see other OCR tools.
flightstats.com	Track flight status at airports worldwide.
wetransfer.com	For sharing really big files online.
hendredzeros.com	The sire letse you download free Kindle books.
polishmywriting.com	Check your witing for spelling or grammatical errors.
marker.to	Easily highlight the important parts of a web page for sharing.
typewith.me	Work on the same document with multiplt people.
whichdateworks.com	Planning an event? find a date that works for all.
everytimezone.com A less confusing view of the world time zones.
gtmetrix.com	The perfect tool for measuring your site performance online.
noteflight.com	Print music sheets, write your own music online (review).
imo.im	 Chat with your buddies on Skype, Facebook, Google Talk, etc from one place.
translate.google.com	Translate web pages, PDFs and Office documents.
kleki.com	Create paintings and sketches with a wide variety of brushes.
similarsites.com	Discover new sites that are similar to what you like already.
wordle.net	Quick summarize long pieces of text with tags clouds.
bubblus	Create mind-maps, brainstorm ideas in the browser.
